timestamp,x,y,z
1773712728905.1523,0.0,0.0,0.0
1773712728921.926,0.0,0.0,0.0
1773712728938.7964,0.0,0.0,0.0
1773712728955.476,0.0,0.0,0.0
1773712728972.1877,0.0,0.0,0.0
1773712728989.1067,0.0,0.0,0.0
1773712729005.7808,0.0,0.0,0.0
1773712729022.701,0.0,0.0,0.0
1773712729039.452,0.0,0.0,0.0
1773712729056.1584,0.0,0.0,0.0
1773712729072.9768,0.0,0.0,0.0
1773712729089.932,0.0,0.0,0.0
1773712729106.6218,0.0,0.0,0.0
1773712729123.5532,0.0,0.0,0.0
1773712729140.2727,0.0,0.0,0.0
1773712729156.9543,0.0,0.0,0.0
1773712729173.753,0.0,0.0,0.0
1773712729190.5933,0.0,0.0,0.0
1773712729207.5547,0.0,0.0,0.0
1773712729224.2224,0.0,0.0,0.0
1773712729241.0813,0.0,0.0,0.0
1773712729257.805,0.0,0.0,0.0
1773712729274.6255,0.0,0.0,0.0
1773712729291.3574,0.0,0.0,0.0
1773712729291.3574,0.0,0.0,0.0
1773712729308.1714,0.0,0.0,0.0
1773712729324.9805,0.0,0.0,0.0
1773712729341.7383,0.0,0.0,0.0
1773712729358.5557,0.0,0.0,0.0
1773712729375.3257,0.0,0.0,0.0
1773712729392.132,0.0,0.0,0.0
1773712729408.954,0.0,0.0,0.0
1773712729425.7166,0.0,0.0,0.0
1773712729442.5596,0.0,0.0,0.0
1773712729459.362,0.0,0.0,0.0
1773712729476.1675,0.0,0.0,0.0
1773712729492.894,0.0,0.0,0.0
1773712729509.7434,0.0,0.0,0.0
1773712729526.5305,0.0,0.0,0.0
1773712729543.348,0.0,0.0,0.0
1773712729560.0974,0.0,0.0,0.0
1773712729577.0227,0.0,0.0,0.0
1773712729593.7056,0.0,0.0,0.0
1773712729610.532,0.0,0.0,0.0
1773712729627.4712,0.0,0.0,0.0
1773712729644.0427,0.0,0.0,0.0
1773712729661.1355,0.0,0.0,0.0
1773712729677.668,0.0,0.0,0.0
1773712729694.56,0.0,0.0,0.0
1773712729711.285,0.0,0.0,0.0
1773712729728.1016,0.0,0.0,0.0
1773712729744.8867,0.0,0.0,0.0
1773712729761.7112,0.0,0.0,0.0
1773712729778.4836,0.0,0.0,0.0
1773712729795.3916,0.0,0.0,0.0
1773712729812.0537,0.0,0.0,0.0
1773712729828.8674,0.0,0.0,0.0
1773712729845.7488,0.0,0.0,0.0
1773712729862.488,0.0,0.0,0.0
1773712729879.362,0.0,0.0,0.0
1773712729896.0396,0.0,0.0,0.0
1773712729912.9792,0.0,0.0,0.0
1773712729929.6797,0.0,0.0,0.0
1773712729946.5103,0.0,0.0,0.0
1773712729963.3445,0.0,0.0,0.0
1773712729980.0947,0.0,0.0,0.0
1773712729996.9436,0.0,0.0,0.0
1773712730013.704,0.0,0.0,0.0
1773712730030.5366,0.0,0.0,0.0
1773712730047.4023,0.0,0.0,0.0
1773712730064.0657,0.0,0.0,0.0
1773712730080.9067,0.0,0.0,0.0
1773712730097.7336,0.0,0.0,0.0
1773712730114.532,0.0,0.0,0.0
